"App Name","Category","Rating","Reviews","Size","Installs","Type","Price","Content Rating","Last Updated","Current Ver","Android Ver"
"Photo Editor & Candy Camera & Grid & ScrapBook","Art & Design","4.1","159","19M","10,000+","Free","0","Everyone","7-Jan-18","1.0.0","4.0.3 and up"
"Coloring book moana","Art & Design;Pretend Play","3.9","967","14M","500,000+","Free","0","Everyone","15-Jan-18","2.0.0","4.0.3 and up"
"U Launcher Lite â€“ FREE Live Cool Themes, Hide Apps","Art & Design","4.7","87510","8.7M","5,000,000+","Free","0","Everyone","1-Aug-18","1.2.4","4.0.3 and up"
"Sketch - Draw & Paint","Art & Design","4.5","215644","25M","50,000,000+","Free","0","Teen","8-Jun-18","Varies with device","4.2 and up"
"Pixel Draw - Number Art Coloring Book","Art & Design;Creativity","4.3","967","2.8M","100,000+","Free","0","Everyone","20-Jun-18","1.1","4.4 and up"
"Paper flowers instructions","Art & Design","4.4","167","5.6M","50,000+","Free","0","Everyone","26-Mar-17","1","2.3 and up"
"Smoke Effect Photo Maker - Smoke Editor","Art & Design","3.8","178","19M","50,000+","Free","0","Everyone","26-Apr-18","1.1","4.0.3 and up"
"Infinite Painter","Art & Design","4.1","36815","29M","1,000,000+","Free","0","Everyone","14-Jun-18","6.1.61.1","4.2 and up"
"Garden Coloring Book","Art & Design","4.4","13791","33M","1,000,000+","Free","0","Everyone","20-Sep-17","2.9.2","3.0 and up"
"Kids Paint Free - Drawing Fun","Art & Design;Creativity","4.7","121","3.1M","10,000+","Free","0","Everyone","3-Jul-18","2.8","4.0.3 and up"
"Text on Photo - Fonteee","Art & Design","4.4","13880","28M","1,000,000+","Free","0","Everyone","27-Oct-17","1.0.4","4.1 and up"
"Name Art Photo Editor - Focus n Filters","Art & Design","4.4","8788","12M","1,000,000+","Free","0","Everyone","31-Jul-18","1.0.15","4.0 and up"
"Tattoo Name On My Photo Editor","Art & Design","4.2","44829","20M","10,000,000+","Free","0","Teen","2-Apr-18","3.8","4.1 and up"
"Mandala Coloring Book","Art & Design","4.6","4326","21M","100,000+","Free","0","Everyone","26-Jun-18","1.0.4","4.4 and up"
"3D Color Pixel by Number - Sandbox Art Coloring","Art & Design","4.4","1518","37M","100,000+","Free","0","Everyone","3-Aug-18","1.2.3","2.3 and up"
"Learn To Draw Kawaii Characters","Art & Design","3.2","55","2.7M","5,000+","Free","0","Everyone","6-Jun-18","NaN","4.2 and up"
"Photo Designer - Write your name with shapes","Art & Design","4.7","3632","5.5M","500,000+","Free","0","Everyone","31-Jul-18","3.1","4.1 and up"
"350 Diy Room Decor Ideas","Art & Design","4.5","27","17M","10,000+","Free","0","Everyone","7-Nov-17","1","2.3 and up"
"FlipaClip - Cartoon animation","Art & Design","4.3","194216","39M","5,000,000+","Free","0","Everyone","3-Aug-18","2.2.5","4.0.3 and up"
"ibis Paint X","Art & Design","4.6","224399","31M","10,000,000+","Free","0","Everyone","30-Jul-18","5.5.4","4.1 and up"
"Logo Maker - Small Business","Art & Design","4","450","14M","100,000+","Free","0","Everyone","20-Apr-18","4","4.1 and up"
"Boys Photo Editor - Six Pack & Men's Suit","Art & Design","4.1","654","12M","100,000+","Free","0","Everyone","20-Mar-18","1.1","4.0.3 and up"
"Superheroes Wallpapers | 4K Backgrounds","Art & Design","4.7","7699","4.2M","500,000+","Free","0","Everyone 10+","12-Jul-18","2.2.6.2","4.0.3 and up"
"Mcqueen Coloring pages","Art & Design;Action & Adventure","NaN","61","7.0M","100,000+","Free","0","Everyone","7-Mar-18","1.0.0","4.1 and up"
"HD Mickey Minnie Wallpapers","Art & Design","4.7","118","23M","50,000+","Free","0","Everyone","7-Jul-18","1.1.3","4.1 and up"
"Harley Quinn wallpapers HD","Art & Design","4.8","192","6.0M","10,000+","Free","0","Everyone","25-Apr-18","1.5","3.0 and up"
"Colorfit - Drawing & Coloring","Art & Design;Creativity","4.7","20260","25M","500,000+","Free","0","Everyone","11-Oct-17","1.0.8","4.0.3 and up"
"Animated Photo Editor","Art & Design","4.1","203","6.1M","100,000+","Free","0","Everyone","21-Mar-18","1.03","4.0.3 and up"
"Pencil Sketch Drawing","Art & Design","3.9","136","4.6M","10,000+","Free","0","Everyone","12-Jul-18","6","2.3 and up"
"Easy Realistic Drawing Tutorial","Art & Design","4.1","223","4.2M","100,000+","Free","0","Everyone","22-Aug-17","1","2.3 and up"
"Pink Silver Bow Keyboard Theme","Art & Design","4.2","1120","9.2M","100,000+","Free","0","Everyone","12-Jul-18","6.7.12.2018","4.0.3 and up"
"Art Drawing Ideas","Art & Design","4.1","227","5.2M","50,000+","Free","0","Everyone","31-May-18","1.2","2.3 and up"
"Anime Manga Coloring Book","Art & Design","4.5","5035","11M","100,000+","Free","0","Everyone","19-Jul-18","2.2","4.0 and up"
"Easy Origami Ideas","Art & Design","4.2","1015","11M","100,000+","Free","0","Everyone","6-Jan-18","1.1.0","4.1 and up"
"I Creative Idea","Art & Design","4.7","353","4.2M","10,000+","Free","0","Teen","27-Apr-18","1.6","4.1 and up"
"How to draw Ladybug and Cat Noir","Art & Design","3.8","564","9.2M","100,000+","Free","0","Everyone","11-Jul-18","2.1","4.1 and up"
"UNICORN - Color By Number & Pixel Art Coloring","Art & Design;Creativity","4.7","8145","24M","500,000+","Free","0","Everyone","2-Aug-18","1.0.9","4.4 and up"
"Floor Plan Creator","Art & Design","4.1","36639","Varies with device","5,000,000+","Free","0","Everyone","14-Jul-18","Varies with device","2.3.3 and up"
"PIP Camera - PIP Collage Maker","Art & Design","4.7","158","11M","10,000+","Free","0","Everyone","29-Nov-17","1.3","4.0.3 and up"
"How To Color Disney Princess - Coloring Pages","Art & Design","4","591","9.4M","500,000+","Free","0","Everyone","31-Mar-18","1","4.0 and up"
"Drawing Clothes Fashion Ideas","Art & Design","4.2","117","15M","10,000+","Free","0","Everyone","20-Jul-18","2.0.1","4.0.3 and up"
"Sad Poetry Photo Frames 2018","Art & Design","4.5","176","10M","100,000+","Free","0","Everyone","2-Apr-18","1","4.0.3 and up"
"Textgram - write on photos","Art & Design","4.4","295221","Varies with device","10,000,000+","Free","0","Everyone","30-Jul-18","Varies with device","Varies with device"
"Paint Splash!","Art & Design;Creativity","3.8","2206","1.2M","100,000+","Free","0","Everyone","15-Apr-18","1.46","4.1 and up"
"Popsicle Sticks and Similar DIY Craft Ideas","Art & Design","4.2","26","12M","10,000+","Free","0","Everyone","3-Jan-18","1.0.0","4.1 and up"
"Canva: Poster, banner, card maker & graphic design","Art & Design","4.7","174531","24M","10,000,000+","Free","0","Everyone","31-Jul-18","1.6.1","4.1 and up"
"Install images with music to make video without Net - 2018","Art & Design","4.6","1070","26M","100,000+","Free","0","Everyone","14-Nov-17","1.6","4.1 and up"
"Little Teddy Bear Colouring Book Game","Art & Design","4.2","85","8.0M","100,000+","Free","0","Everyone","17-Dec-17","2.0.0","4.1 and up"
"How To Draw Food","Art & Design","4.3","845","7.9M","100,000+","Free","0","Everyone","28-May-18","1","2.3 and up"
"Monster Truck Stunt 3D 2019","Auto & Vehicles","4.2","367","25M","100,000+","Free","0","Everyone","10-May-18","1","4.0.3 and up"
"Real Tractor Farming","Auto & Vehicles","4","1598","56M","1,000,000+","Free","0","Everyone","26-Jul-18","11","4.1 and up"
"Ultimate F1 Racing Championship","Auto & Vehicles","3.8","284","57M","100,000+","Free","0","Everyone","26-Jul-18","3","4.1 and up"
"Used Cars and Trucks for Sale","Auto & Vehicles","4.6","17057","Varies with device","1,000,000+","Free","0","Everyone","30-Jul-18","Varies with device","Varies with device"
"American Muscle Car Race","Auto & Vehicles","3.9","129","35M","100,000+","Free","0","Everyone","26-Jul-18","3","4.1 and up"
"Offroad Oil Tanker Driver Transport Truck 2019","Auto & Vehicles","4.3","542","33M","100,000+","Free","0","Everyone","31-Jul-18","4","4.1 and up"
"Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","Auto & Vehicles","4.9","10479","33M","100,000+","Free","0","Everyone","18-Jul-18","1.7.1","4.0 and up"
"Gas Prices (Germany only)","Auto & Vehicles","4.4","805","5.6M","50,000+","Free","0","Everyone","29-Jul-18","2.5.1","4.4 and up"
"Extreme Rally Championship","Auto & Vehicles","4.2","129","54M","100,000+","Free","0","Everyone","26-Jul-18","3","4.1 and up"
"Restart Navigator","Auto & Vehicles","4","1403","201k","100,000+","Free","0","Everyone","26-Aug-14","1.0.1","2.2 and up"
"REG - Check the regnumber, find information about Swedish vehicles","Auto & Vehicles","3.9","3971","3.6M","100,000+","Free","0","Everyone","30-Jul-18","2.493","4.4 and up"
"CityBus Lviv","Auto & Vehicles","4.6","534","5.7M","10,000+","Free","0","Everyone","8-Jul-18","1.9.1","4.0.3 and up"
"CDL Practice Test 2018 Edition","Auto & Vehicles","4.9","7774","17M","100,000+","Free","0","Everyone","3-Jul-18","1.7","4.2 and up"
"ezETC (ETC balance inquiry, meter trial, real-time traffic)","Auto & Vehicles","4.3","38846","8.6M","1,000,000+","Free","0","Everyone","28-Jul-18","2.20 Build 02","4.1 and up"
"Free VIN Report for Used Cars","Auto & Vehicles","4.6","2431","2.4M","100,000+","Free","0","Everyone","12-Jun-18","1.37","4.0 and up"
"DMV Permit Practice Test 2018 Edition","Auto & Vehicles","4.9","6090","27M","100,000+","Free","0","Everyone","3-Jul-18","1.7","4.2 and up"
"Check Vehicle Tax","Auto & Vehicles","3.9","295","2.7M","10,000+","Free","0","Everyone","30-Jul-18","0.2.1","4.4 and up"
"Used Cars Mexico","Auto & Vehicles","4","190","2.5M","50,000+","Free","0","Everyone","14-Oct-16","1","2.3 and up"
"Ulysse Speedometer","Auto & Vehicles","4.3","40211","Varies with device","5,000,000+","Free","0","Everyone","30-Jul-18","Varies with device","Varies with device"
"REPUVE","Auto & Vehicles","3.9","356","Varies with device","100,000+","Free","0","Everyone","25-May-18","Varies with device","Varies with device"
"Used cars for sale - Trovit","Auto & Vehicles","4.2","52530","7.0M","5,000,000+","Free","0","Everyone","16-Jul-18","4.47.3","4.0.3 and up"
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines","Auto & Vehicles","4.8","116986","35M","5,000,000+","Free","0","Everyone","2-Aug-18","1.9.7","4.0.3 and up"
"SK Enca Direct Malls - Used Cars Search","Auto & Vehicles","3.6","1379","16M","500,000+","Free","0","Everyone","2-Aug-18","2.2.21","4.2 and up"
"Android Auto - Maps, Media, Messaging & Voice","Auto & Vehicles","4.2","271920","16M","10,000,000+","Free","0","Teen","11-Jul-18","Varies with device","5.0 and up"
"PDD-UA","Auto & Vehicles","4.8","736","Varies with device","100,000+","Free","0","Everyone","29-Jul-18","2.9","2.3.3 and up"
"Tickets SDA 2019 + Exam RF","Auto & Vehicles","4.8","7021","17M","500,000+","Free","0","Everyone","27-Jul-18","1.79","4.0 and up"
"Super Cars Wallpapers And Backgrounds","Auto & Vehicles","4.6","197","3.4M","50,000+","Free","0","Everyone","14-Jun-18","1.3","4.0 and up"
"Police Lights, Sirens & Follow Me","Auto & Vehicles","4.5","737","8.9M","100,000+","Free","0","Everyone","8-Jun-18","2.3.5.1","4.1 and up"
"Police Detector (Speed Camera Radar)","Auto & Vehicles","4.3","3574","3.9M","1,000,000+","Free","0","Everyone 10+","4-Jul-18","1.6","4.0 and up"
"Best Car Wallpapers","Auto & Vehicles","4.5","994","2.9M","100,000+","Free","0","Everyone","27-Mar-18","1.6","4.1 and up"
"Tickets + PDA 2018 Exam","Auto & Vehicles","4.9","197136","38M","1,000,000+","Free","0","Everyone","15-Jul-18","8.31","4.1 and up"
"Pick Your Part Garage","Auto & Vehicles","3.9","142","32M","50,000+","Free","0","Everyone","24-Jul-18","1.1.5.0","6.0 and up"
"PakWheels: Buy & Sell Cars","Auto & Vehicles","4.4","15168","37M","1,000,000+","Free","0","Everyone","27-Jul-18","10.0.2","4.2 and up"
"Supervision service","Auto & Vehicles","4","2155","15M","500,000+","Free","0","Everyone","30-Jul-18","1.10.3","5.0 and up"
"Speed Camera Detector - Traffic & Speed Alert","Auto & Vehicles","4.3","138","5.4M","100,000+","Free","0","Everyone","23-Jul-18","1","4.0.3 and up"
"Used car search Goo net whole car Go to net","Auto & Vehicles","3.7","5414","18M","1,000,000+","Free","0","Everyone","23-Jul-18","3.20.1","4.4 and up"
"CarMax â€“ Cars for Sale: Search Used Car Inventory","Auto & Vehicles","4.4","21777","Varies with device","1,000,000+","Free","0","Everyone","4-Aug-18","Varies with device","Varies with device"
"BEST CAR SOUNDS","Auto & Vehicles","4.3","348","38M","100,000+","Free","0","Everyone","29-Jul-18","1.0.3","2.3 and up"
"RST - Sale of cars on the PCT","Auto & Vehicles","3.2","250","1.1M","100,000+","Free","0","Everyone","27-Apr-18","1.4","4.0.3 and up"
"AutoScout24 Switzerland â€“ Find your new car","Auto & Vehicles","4.6","13372","Varies with device","1,000,000+","Free","0","Everyone","3-Aug-18","Varies with device","Varies with device"
"Zona Azul Digital FÃ¡cil SP CET - OFFICIAL SÃ£o Paulo","Auto & Vehicles","4.6","7880","Varies with device","100,000+","Free","0","Everyone","10-May-18","4.6.5","Varies with device"
"SMS Park","Auto & Vehicles","4.5","3617","7.9M","100,000+","Free","0","Everyone","16-May-18","2.8.2","4.1 and up"
"SKencar","Auto & Vehicles","3.7","4806","35M","1,000,000+","Free","0","Everyone","31-Jul-18","4.0.3","4.0.3 and up"
"Fuelio: Gas log & costs","Auto & Vehicles","4.6","65786","Varies with device","1,000,000+","Free","0","Everyone","2-Aug-18","Varies with device","4.0.3 and up"
"auto fines","Auto & Vehicles","4.6","31433","17M","1,000,000+","Free","0","Everyone","2-Aug-18","1.4","4.0.3 and up"
"Used car is the first car - used car purchase, used car quotation, dealer information to","Auto & Vehicles","4.6","5097","19M","1,000,000+","Free","0","Everyone","23-Jul-18","1.5.18","4.0.3 and up"
"All of the parking lot - National Park application (parking lot search / parking sharing / discount payment)","Auto & Vehicles","4","1754","14M","500,000+","Free","0","Everyone","2-Jun-18","2.3.4","4.0 and up"
"Inquiry Fines and Debits of Vehicles","Auto & Vehicles","4.4","2680","2.2M","500,000+","Free","0","Everyone","20-Mar-18","1.03","4.0.3 and up"
"Gas Station","Auto & Vehicles","4","1288","4.5M","100,000+","Free","0","Everyone","21-Apr-18","2.17","4.0 and up"
"Hush - Beauty for Everyone","Beauty","4.7","18900","17M","500,000+","Free","0","Everyone","2-Aug-18","6.10.1","5.0 and up"
"ipsy: Makeup, Beauty, and Tips","Beauty","4.9","49790","14M","1,000,000+","Free","0","Everyone","9-Nov-17","2.3.0","4.1 and up"
"Natural recipes for your beauty","Beauty","4.7","1150","9.8M","100,000+","Free","0","Everyone","15-May-18","4","4.1 and up"
"BestCam Selfie-selfie, beauty camera, photo editor","Beauty","3.9","1739","21M","500,000+","Free","0","Everyone","12-Jul-18","1.0.6","4.0.3 and up"
"Mirror - Zoom & Exposure -","Beauty","3.9","32090","Varies with device","1,000,000+","Free","0","Everyone","24-Oct-16","Varies with device","Varies with device"
"Beauty Selfie Camera","Beauty","4.2","2225","52M","500,000+","Free","0","Everyone","28-Feb-18","1.6","4.1 and up"
"Hairstyles step by step","Beauty","4.6","4369","14M","100,000+","Free","0","Everyone","25-Jul-18","1.9","4.0.3 and up"
"Filters for Selfie","Beauty","4.3","8572","25M","1,000,000+","Free","0","Everyone","10-May-18","1.1.0","4.0 and up"
"Tie - Always be happy","Beauty","4.7","964","9.0M","50,000+","Free","0","Everyone","21-Jun-18","4","4.2 and up"
"Ulta Beauty","Beauty","4.7","42050","Varies with device","1,000,000+","Free","0","Everyone","5-Jun-18","5.4","5.0 and up"
"Prom MakeUp Tutorial","Beauty","4.8","104","12M","10,000+","Free","0","Everyone","26-Jun-18","1.3","4.0.3 and up"
"Selfie Camera","Beauty","4.2","17934","Varies with device","1,000,000+","Free","0","Everyone","12-Sep-17","Varies with device","Varies with device"
"Sweet Selfie Beauty Camera","Beauty","4.3","601","35M","100,000+","Free","0","Everyone","2-Jun-18","2.0.0","4.0 and up"
"Colors of white in Urdu","Beauty","4.5","36","6.7M","10,000+","Free","0","Everyone","26-Jul-18","6","4.0 and up"
"Selfie Camera Photo Editor & Filter & Sticker","Beauty","4.1","187","30M","50,000+","Free","0","Teen","24-Jul-18","3.0.1","4.0.3 and up"
"Wrinkles and rejuvenation","Beauty","NaN","182","5.7M","100,000+","Free","0","Everyone 10+","20-Sep-17","8","3.0 and up"
"Eyes Makeup Beauty Tips","Beauty","4.2","30","2.9M","10,000+","Free","0","Everyone","9-Apr-18","3.3.9","4.0.3 and up"
"Photo Editor 2018","Beauty","4.5","134","17M","10,000+","Free","0","Everyone","1-Mar-18","1.2","4.0.3 and up"
"Step By Step Eyes Makeup Tutorial","Beauty","4.4","74","2.9M","10,000+","Free","0","Everyone","5-Apr-18","2.3.09","4.0.3 and up"
"Beauty Camera - Selfie Camera","Beauty","4","113715","Varies with device","10,000,000+","Free","0","Everyone","3-Aug-17","Varies with device","Varies with device"
"Girls Hairstyles","Beauty","4.1","3595","Varies with device","500,000+","Free","0","Everyone","24-May-18","Varies with device","4.0 and up"
"Mirror Camera (Mirror + Selfie Camera)","Beauty","4.1","9315","2.6M","1,000,000+","Free","0","Everyone","21-Nov-17","1.4.2","4.0 and up"
"Beauty Tips - Beauty Tips in Sinhala","Beauty","4.4","75","4.2M","50,000+","Free","0","Everyone","18-Oct-17","1.0.0","4.0.3 and up"
"Haircut Tutorials/Haircut Videos","Beauty","4.6","38","7.1M","10,000+","Free","0","Everyone","29-May-18","1","4.0 and up"
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop","Beauty","4.5","26834","57M","1,000,000+","Free","0","Everyone","24-Jul-18","18.5","5.0 and up"
"Manicure - nail design","Beauty","NaN","119","3.7M","50,000+","Free","0","Everyone","23-Jul-18","1.3","4.1 and up"
"Sticker Camera - Selfie Filters, Beauty Camera","Beauty","3.9","2277","22M","500,000+","Free","0","Everyone","12-Jul-18","1.1.0","4.0.3 and up"
"Filters for B Live","Beauty","4.4","2280","24M","500,000+","Free","0","Everyone","14-May-18","1.1.0","4.0 and up"
"Skin Care and Natural Beauty","Beauty","NaN","654","7.4M","100,000+","Free","0","Teen","17-Jul-18","1.15","4.1 and up"
"Facial Wrinkle Reduction","Beauty","4.6","184","21M","10,000+","Free","0","Everyone","2-Jul-18","1.5","4.1 and up"
"Makeup Videos","Beauty","3.8","9","3.4M","5,000+","Free","0","Everyone","7-Jun-18","1","4.0 and up"
"Secrets of beauty, youth and health","Beauty","NaN","77","2.9M","10,000+","Free","0","Mature 17+","8-Aug-17","2","2.3 and up"
"Recipes and tips for losing weight","Beauty","NaN","35","3.1M","10,000+","Free","0","Everyone 10+","11-Dec-17","2","3.0 and up"
"Discover Color","Beauty","4","364","6.4M","100,000+","Free","0","Everyone","24-May-18","1.1","4.0.3 and up"
"Eyeliner step by step 2018","Beauty","4.3","18","3.2M","5,000+","Free","0","Everyone","1-Jun-18","1.2.13","4.0.3 and up"
"Dresses Ideas & Fashions +3000","Beauty","4.5","473","8.2M","100,000+","Free","0","Mature 17+","1-Mar-17","1.0.2.0","1.6 and up"
"Lady adviser (beauty, health)","Beauty","NaN","30","9.9M","10,000+","Free","0","Mature 17+","24-Jan-18","3","3.0 and up"
"Step By Step Hairstyles For Women","Beauty","4.1","66","2.9M","10,000+","Free","0","Everyone","5-Apr-18","3.1.89","4.0.3 and up"
"Rainbow Camera","Beauty","3.7","3871","23M","1,000,000+","Free","0","Everyone","30-Jul-18","2.2.0","4.0 and up"
"Methods of teeth whitening","Beauty","4.7","257","4.6M","50,000+","Free","0","Everyone","7-Aug-17","1","4.0.3 and up"
"Girls hairstyles 2018","Beauty","4.2","62","3.1M","10,000+","Free","0","Everyone","28-May-18","1.9.2","4.0.3 and up"
"Wattpad ðŸ“– Free Books","Books & Reference","4.6","2914724","Varies with device","100,000,000+","Free","0","Teen","1-Aug-18","Varies with device","Varies with device"
"E-Book Read - Read Book for free","Books & Reference","4.5","1857","4.9M","50,000+","Free","0","Everyone","3-Aug-18","1.3.2","4.4 and up"
"Download free book with green book","Books & Reference","4.6","4478","9.5M","100,000+","Free","0","Everyone 10+","31-Jul-17","1.1","4.0 and up"
"Wikipedia","Books & Reference","4.4","577550","Varies with device","10,000,000+","Free","0","Everyone","2-Aug-18","Varies with device","Varies with device"
"Amazon Kindle","Books & Reference","4.2","814080","Varies with device","100,000,000+","Free","0","Teen","27-Jul-18","Varies with device","Varies with device"
"Cool Reader","Books & Reference","4.5","246315","Varies with device","10,000,000+","Free","0","Everyone","17-Jul-15","Varies with device","1.5 and up"
"Dictionary - Merriam-Webster","Books & Reference","4.5","454060","Varies with device","10,000,000+","Free","0","Everyone","18-May-18","Varies with device","Varies with device"
"NOOK: Read eBooks & Magazines","Books & Reference","4.5","155446","Varies with device","10,000,000+","Free","0","Teen","25-Apr-18","Varies with device","Varies with device"
"Free Panda Radio Music","Books & Reference","4.5","418","4.2M","100,000+","Free","0","Everyone","27-Mar-18","2.1","4.1 and up"
"Book store","Books & Reference","4.4","22486","5.4M","1,000,000+","Free","0","Teen","6-Jun-18","3.2.1","4.0 and up"
"FBReader: Favorite Book Reader","Books & Reference","4.5","203130","Varies with device","10,000,000+","Free","0","Everyone","28-Jun-18","Varies with device","Varies with device"
"English Grammar Complete Handbook","Books & Reference","4.6","1435","2.8M","500,000+","Free","0","Everyone","21-Jan-18","1","4.0 and up"
"Free Books - Spirit Fanfiction and Stories","Books & Reference","4.8","116507","5.0M","1,000,000+","Free","0","Teen","1-Aug-18","2.0.075","4.0.3 and up"
"Google Play Books","Books & Reference","3.9","1433233","Varies with device","1,000,000,000+","Free","0","Teen","3-Aug-18","Varies with device","Varies with device"
"AlReader -any text book reader","Books & Reference","4.6","90468","5.9M","5,000,000+","Free","0","Everyone","27-May-18","1.91180527","2.3 and up"
"Offline English Dictionary","Books & Reference","4.2","860","13M","100,000+","Free","0","Everyone","17-Jul-18","1","4.0.3 and up"
"Oxford Dictionary of English : Free","Books & Reference","4.1","363934","7.1M","10,000,000+","Free","0","Everyone","11-Jul-18","9.1.363","4.1 and up"
"Offline: English to Tagalog Dictionary","Books & Reference","4.7","967","6.7M","500,000+","Free","0","Everyone","4-Aug-18","1.1.6","4.0.3 and up"
"Spanish English Translator","Books & Reference","4.2","87873","Varies with device","10,000,000+","Free","0","Teen","28-May-18","Varies with device","Varies with device"
"FamilySearch Tree","Books & Reference","4.3","17506","17M","1,000,000+","Free","0","Everyone","20-Jul-18","2.3.18","4.1 and up"
"Cloud of Books","Books & Reference","3.3","1862","19M","1,000,000+","Free","0","Everyone","27-Apr-18","2.2.5","4.1 and up"
"Recipes of Prophetic Medicine for free","Books & Reference","4.6","2084","6.7M","500,000+","Free","0","Everyone","17-May-18","15","2.3 and up"
